"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.999330042E0,6.936127320E-4,-3.027271014E-4,-1.404531300E-3
3.009343042E0,-1.265760511E-5,-3.131134436E-4,-1.292412169E-3
3.019357042E0,-3.911803011E-3,-9.801937267E-4,1.209335867E-3
3.029371042E0,-8.275965229E-4,6.872117519E-4,7.680500858E-4
3.039385042E0,1.095931046E-3,1.203942113E-3,-7.382393815E-4
3.049398042E0,-4.084883258E-4,1.835910138E-3,-1.155290287E-3
3.059412042E0,1.526503824E-3,-1.577922842E-3,-5.993335508E-4
3.069426042E0,-1.499379519E-3,-3.644802142E-3,3.487514332E-4
3.079438792E0,1.284955069E-3,-2.383085201E-3,-9.720269591E-4
3.089452792E0,2.149150707E-3,8.939346299E-5,-1.496430486E-4
3.099466792E0,1.020580530E-3,1.584987389E-3,7.441118360E-4
3.109480792E0,6.426777691E-4,-1.353544416E-3,1.130803023E-3
3.119493792E0,1.164110377E-3,3.921424504E-4,2.494915389E-4
3.129507792E0,-2.227159217E-3,-7.796483114E-4,4.059143364E-3
3.139521792E0,2.276198007E-3,1.206042944E-3,-2.337871119E-4
3.149534792E0,2.154447138E-4,3.469071817E-4,-4.146159627E-4
3.159548792E0,-1.628814731E-3,1.659293193E-3,-1.799669117E-3
3.169562792E0,-1.153707039E-3,-2.902435604E-3,1.907983795E-3
3.179576792E0,3.914225847E-3,-8.342312649E-4,5.825902335E-4
3.189589792E0,1.945883036E-3,-9.162565693E-4,-2.384623513E-4
3.199603792E0,1.883547753E-3,-1.079484122E-3,-1.603350043E-3
3.209617792E0,1.546237618E-4,1.519615762E-4,1.151878387E-4
3.219630792E0,1.952883787E-3,-1.168223796E-3,1.322929747E-4
3.229644792E0,-7.697753608E-5,-2.654120326E-4,-2.685128711E-4
3.239658792E0,-5.305819213E-4,9.047312196E-4,7.313140668E-4
3.249672792E0,-1.729004085E-3,9.699468501E-5,-2.770210616E-3
3.259685792E0,1.690190285E-3,-7.751896046E-4,1.272611786E-3
3.269699792E0,-3.788191825E-4,-1.428463031E-3,6.502307951E-4
3.279713792E0,2.002874389E-4,-1.029114937E-3,2.602011198E-3
3.289726792E0,-2.640772611E-3,-1.073057065E-3,1.947672572E-3
3.299740792E0,3.072945401E-4,-4.731982481E-4,-3.561992198E-4
3.309754792E0,-4.447828978E-4,5.819462240E-4,-2.124804538E-3
3.319768792E0,1.363233663E-3,2.923703287E-4,1.718068728E-3
3.329781792E0,-3.873606212E-3,1.159495441E-3,-8.569052443E-5
3.339795792E0,-1.584645361E-4,-2.540592104E-4,8.060000837E-4
3.349809792E0,1.762947068E-4,-1.399218338E-3,1.880319091E-3
3.359822792E0,-5.555776879E-4,-2.295821905E-4,-1.467436552E-3
3.369836792E0,-2.718863543E-3,1.123677939E-4,4.239403643E-4
3.379850792E0,-2.544298768E-4,-1.913646120E-3,1.505715773E-4
3.389863792E0,1.664909534E-3,-2.454421483E-4,1.136207487E-3
3.399877792E0,-1.756890211E-3,-9.188742843E-4,2.932347124E-3
3.409891792E0,-2.376874443E-3,-1.084743999E-4,-5.875527859E-4
3.419905792E0,-1.335449051E-3,1.708305441E-3,4.597571678E-4
3.429918792E0,1.860343851E-3,-1.452333992E-3,6.914525293E-4
3.439932792E0,5.385531113E-4,4.295813851E-4,9.572631679E-4
3.449946792E0,-2.330204006E-3,-2.190170344E-3,-1.201761886E-3
3.459959792E0,-4.723267630E-4,2.963713137E-3,-5.143764429E-4
3.469973792E0,1.853678375E-3,-9.660471696E-4,1.537855482E-3
3.479987792E0,-4.030298442E-5,1.360729337E-3,-1.398339868E-3
3.490001792E0,6.135031581E-4,7.788287476E-4,1.186524285E-3
3.500014792E0,6.312178448E-4,1.885776641E-3,2.040690742E-4
3.510028792E0,-1.929145306E-3,-2.825690899E-4,1.903698314E-3
3.520042792E0,2.096705139E-4,-4.478807095E-4,1.531609101E-3
3.530055792E0,1.369743608E-3,3.633180168E-4,-3.509796225E-4
3.540069792E0,6.294036284E-4,-8.880298119E-4,3.775800578E-4
3.550083792E0,1.801992767E-3,-3.295650240E-4,-3.705020063E-4
3.560097792E0,2.177007496E-3,2.322720829E-4,-7.288902998E-5
3.570110792E0,-2.147433348E-3,-1.228471752E-3,-4.718303680E-4
3.580124792E0,2.210862003E-3,-5.113752559E-5,-6.310264580E-4
3.590138792E0,-6.304644048E-4,1.186433248E-3,6.084083579E-4
3.600151792E0,1.285174862E-3,-1.184395747E-3,2.348679351E-3
3.610165792E0,-1.242697239E-3,-2.685885876E-3,5.747475661E-4
3.620179792E0,1.918249764E-3,1.808126923E-3,-1.093517058E-4
3.630193792E0,-2.860482782E-4,-4.076660145E-3,2.917200327E-4
3.640206792E0,-7.318854332E-4,1.614680514E-4,-1.940792426E-4
3.650220792E0,1.619420014E-3,-8.354289457E-5,-1.194096170E-3
